Kategorie|Thema|Kuriositaet|Hintergrund|Quelle
Bücher-Rekorde|Die Bibel|[Übersetzt] Meistverkauftes Buch|Mit geschätzten 5 bis 7 Milliarden verkauften Exemplaren weltweit ist die Bibel das unangefochten meistverkaufte Buch der Menschheitsgeschichte.|https://wikipedia.org
Bücher-Rekorde|Don Quijote|[Übersetzt] Meistverkaufter Roman|Miguel de Cervantes' »Don Quijote« gilt mit geschätzten 500 Millionen Verkäufen als der meistverkaufte belletristische Einzelroman aller Zeiten.|https://wikipedia.org
Bücher-Rekorde|A Tale of Two Cities|[Übersetzt] Englischer Spitzenreiter|Charles Dickens' Roman »A Tale of Two Cities« ist mit über 200 Millionen verkauften Exemplaren der erfolgreichste englischsprachige Einzelroman.|https://wikipedia.org
Bücher-Rekorde|Agatha Christie|[Übersetzt] Meistverkaufte Autorin|Christie ist laut Guinness-Buch die meistverkaufte Romanautorin der Geschichte, ihre Werke wurden über 2 Milliarden Mal verkauft.|https://wikipedia.org
Zensur & Kuriose Verbote|Die Farbe Lila|[Übersetzt] Zu brutal|Alice Walkers Roman wurde in zahlreichen US-Schulen verboten, da Kritiker die Darstellung von sozialer Realität und ethnischer Konflikte als »zu verstörend« einstuften.|https://wikipedia.org
Zensur & Kuriose Verbote|Mausefalle|[Übersetzt] Verbotenes Spoilern|Das Theaterstück von Agatha Christie verbietet den Zuschauern per Vertrag nach der Vorstellung traditionell, die Identität des Mörders im Internet oder an Freunde zu verraten.|https://wikipedia.org
Entstehungsgeschichten|Moby Dick|[Übersetzt] Widmung an Hawthorne|Herman Melville überarbeitete Moby Dick komplett, nachdem er Nathaniel Hawthorne kennenlernte. Er widmete ihm das Buch schließlich aus tiefer Bewunderung.|https://wikipedia.org
Entstehungsgeschichten|Tarzan|[Übersetzt] Nie im Dschungel|Der Autor Edgar Rice Burroughs hatte zum Zeitpunkt des Schreibens von Tarzan noch nie in seinem Leben einen echten afrikanischen Dschungel betreten.|https://wikipedia.org
Entstehungsgeschichten|Das Dschungelbuch|[Übersetzt] Für die Tochter|Rudyard Kipling schrieb die Kurzgeschichten für seine älteste Tochter Josephine, die tragischerweise im Alter von nur sechs Jahren an einer Lungenentzündung starb.|https://wikipedia.org
Pseudonyme|Stephen King|[Übersetzt] Entlarvung im Laden|Ein findiger Buchladen-Mitarbeiter entlarvte Kings Pseudonym Richard Bachman, weil er literarische Parallelen bemerkte und die Verlagsdokumente prüfte.|https://wikipedia.org
Pseudonyme|Mark Twain|[Übersetzt] Flussgänger-Begriff|Der Name Mark Twain ist ein Pseudonym für Samuel Langhorne Clemens und stammt aus der Flussschifffahrt, wo es eine Wassertiefe von zwei Faden (ca. 3,6 Meter) markiert.|https://wikipedia.org
Titel & Verlage|Der Große Gatsby|[Übersetzt] Flop zu Lebzeiten|Als F. Scott Fitzgerald 1940 starb, galt das Buch als kommerzieller Misserfolg. Erst im Zweiten Weltkrieg wurde es durch Gratis-Militärausgaben zum Klassiker.|https://wikipedia.org
Plagiate & Irrtümer|Robinson Crusoe|[Übersetzt] Realer Seemann|Daniel Defoes weltberühmter Roman basierte fast vollständig auf den echten Überlebensberichten des schottischen Seemanns Alexander Selkirk.|https://wikipedia.org
Sci-Fi|Neuromancer|[Übersetzt] Auf Schreibmaschine verfasst|William Gibson prägte in Neuromancer den Begriff Cyberspace, tippte das gesamte, technikweisende Meisterwerk jedoch auf einer antiken, mechanischen Schreibmaschine von 1927.|https://wikipedia.org
Sci-Fi|Fahrenheit 451|[Übersetzt] Auf Münz-Schreibmaschine getippt|Ray Bradbury schrieb die erste Fassung des Romans im Keller einer Bibliothek auf einer Miet-Schreibmaschine, in die er alle 30 Minuten zehn Cent einwerfen musste.|https://wikipedia.org
Sci-Fi|Das Portal|[Übersetzt] Vorhersage von Kreditkarten|Edward Bellamy beschrieb in seinem utopischen Science-Fiction-Roman Ein Rückblick aus dem Jahr 1888 das Prinzip von universellen Kreditkarten, lange bevor sie erfunden wurden.|https://wikipedia.org
Sci-Fi|Per Anhalter durch die Galaxis|[Übersetzt] Idee im betrunkenen Zustand|Douglas Adams kam auf die Idee für das Buch, als er betrunken auf einem Feld in Innsbruck (Österreich) lag, in den Sternenhimmel schaute und einen Reiseführer für Europa hielt.|https://wikipedia.org
Sci-Fi|Frankenstein|[Übersetzt] Erster Sci-Fi-Roman|Mary Shelleys Frankenstein von 1818 wird von vielen Literaturwissenschaftlern als der allererste echte Science-Fiction-Roman der Menschheit eingestuft.|https://wikipedia.org
Sci-Fi|Die Zeitmaschine|[Übersetzt] Begriffserfindung|H.G. Wells erfand mit seinem Roman von 1895 den eigentlichen Begriff Zeitmaschine (Time Machine). Vorher gab es in der Literatur keine feste Bezeichnung für solche Apparate.|https://wikipedia.org
Sci-Fi|2001: Odyssee im Weltraum|[Übersetzt] Buch und Film parallel|Arthur C. Clarke schrieb den Roman parallel zum Drehbuch für Stanley Kubricks Film. Das Buch erschien kurz nach dem Kinostart und klärte viele absichtlich kryptische Filmszenen auf.|https://wikipedia.org
Sci-Fi|Dune|[Übersetzt] Inspiriert von Sanddünen|Frank Herbert kam auf die Idee zu Dune, weil er als Journalist einen Artikel über die Kontrolle von wandernden Sanddünen in Oregon schreiben sollte und von der Ökologie fasziniert war.|https://wikipedia.org
Sci-Fi|Ich, der Roboter|[Übersetzt] Die drei Gesetze|Isaac Asimov erfand in seinen Geschichten die Drei Gesetze der Robotik, die bis heute in der realen KI-Forschung und Philosophie als ethische Diskussionsgrundlage genutzt werden.|https://wikipedia.org
Sci-Fi|Starship Troopers|[Übersetzt] Exoskelett-Pionier|Robert A. Heinlein beschrieb in diesem Roman von 1959 erstmals das Konzept von motorisierten Kampf-Exoskeletten (Mechs), was die moderne Popkultur massiv beeinflusste.|https://wikipedia.org
Sci-Fi|1984|[Übersetzt] Im Sterbebett vollendet|George Orwell schrieb den dystopischen Meilenstein unter extremen körperlichen Qualen auf der abgelegenen schottischen Insel Jura, während er an schwerer Tuberkulose litt.|https://wikipedia.org
Sci-Fi|Der Marsianer|[Übersetzt] Ursprünglich ein Gratis-Blog|Andy Weir veröffentlichte die Kapitel von Der Marsianer zuerst kostenlos auf seiner Website. Erst als Leser nach einer Kindle-Version verlangten, stellte er es für 99 Cent online.|https://wikipedia.org
Sci-Fi|Snow Crash|[Übersetzt] Metaverse-Ursprung|Der Autor Neal Stephenson erfand in diesem Cyberpunk-Roman von 1992 den Begriff Metaverse sowie die digitale Nutzung des Begriffs Avatar für virtuelle Identitäten.|https://wikipedia.org
Sci-Fi|Die Triffids|[Übersetzt] Albtraum beim Camping|John Wyndham kam auf die Idee für die menschenfressenden, laufenden Pflanzen, als er nachts beim Camping im Wind wehende Büsche beobachtete, die wie wandernde Kreaturen wirkten.|https://wikipedia.org
Sci-Fi|Die Foundation-Trilogie|[Übersetzt] Inspiriert vom Römischen Reich|Isaac Asimov basierte seine gigantische galaktische Imperiums-Saga auf dem historischen Geschichtswerk Über den Niedergang des Römischen Reiches von Edward Gibbon.|https://wikipedia.org
Sci-Fi|Solaris|[Übersetzt] Streit mit Regisseur|Stanislaw Lem war so unzufrieden mit Andrei Tarkowskis berühmter Film-Adaption seines Buches, dass er den Regisseur bei einem Treffen in Moskau wütend als Dummkopf bezeichnete.|https://wikipedia.org
Sci-Fi|Ready Player One|[Übersetzt] DeLorean-Gewinnspiel|Zur Promotion des Buches versteckte Ernest Cline ein Easter Egg im Text. Der Leser, der das Rätsel als Erster löste, gewann einen echten, umgebauten DeLorean.|https://wikipedia.org
Sci-Fi|Vorteil McCaffrey|[Übersetzt] Erste Frau im Sci-Fi-Olymp|Anne McCaffrey war mit ihrer Drachenreiter von Pern-Saga 1968 die allererste Frau, die jemals die renommierten Science-Fiction-Preise Hugo Award und Nebula Award gewann.|https://wikipedia.org
Sci-Fi|20.000 Meilen unter dem Meer|[Übersetzt] U-Boot-Spezifikationen|Jules Verne beschrieb die Nautilus 1870 so detailliert und physikalisch plausibel, dass Ingenieure moderner Elektro-U-Boote sich Jahrzehnte später auf seine Visionen berufen konnten.|https://wikipedia.org
Sci-Fi|R.U.R.|[Übersetzt] Erfindung des Wortes Roboter|Karel Capek führte in diesem Science-Fiction-Theaterstück von 1920 das Wort Roboter in die Weltliteratur ein. Es leitet sich vom slawischen Wort robota für Zwangsarbeit ab.|https://wikipedia.org.
